sessionID,iterations,time,cpu,cpuID,value,point,findType,functionType,particlesNum
c790061751d38117ffea,30,226,4,1,-0.0000814950629157357,"(1.0081147681258484,1.0166909309217147)",FIND_OPTIMUM,Rosenbrock,100
c790061751d38117ffea,10000,38204,4,2,-30.933428854438183,"(6.561621669424636,43.059113623471625)",ITERATION_LIMIT,Rosenbrock,100
c790061751d38117ffea,10000,38121,4,3,-0.005518133944698012,"(0.9257569010604999,0.8567789349288766)",ITERATION_LIMIT,Rosenbrock,100
18d72216e4677747141a,25,152,4,2,-0.0000043256227779578906,"(1.0020621206903222,1.0041014232520347)",FIND_OPTIMUM,Rosenbrock,100
18d72216e4677747141a,10000,38563,4,0,-1.7115832361011707,"(2.3080429126261093,5.32952577244064)",ITERATION_LIMIT,Rosenbrock,100
38c7364e7945c6905971,34,140,4,3,-0.00005045769505013922,"(0.9945179943175001,0.9886143186646815)",FIND_OPTIMUM,Rosenbrock,100
38c7364e7945c6905971,10000,42873,4,0,-0.06288038059912471,"(0.7492768277222427,0.5609883130191925)",ITERATION_LIMIT,Rosenbrock,100
38c7364e7945c6905971,10000,42836,4,1,-0.008420308986952799,"(1.091723642526144,1.1921266392268934)",ITERATION_LIMIT,Rosenbrock,100
38c7364e7945c6905971,10000,42838,4,2,-24.0587917376696,"(-3.9048573733475096,15.251325611696988)",ITERATION_LIMIT,Rosenbrock,100
731ee178695d4402f84c,22,97,4,2,-0.00001658644214050134,"(0.9959355649452585,0.9918618019259816)",FIND_OPTIMUM,Rosenbrock,100
731ee178695d4402f84c,10000,38145,4,0,-0.11027369106599458,"(1.3320201781272856,1.7748801865303798)",ITERATION_LIMIT,Rosenbrock,100
731ee178695d4402f84c,10000,38130,4,1,-3.846269956190883,"(2.961190839142819,8.768718167400552)",ITERATION_LIMIT,Rosenbrock,100
731ee178695d4402f84c,10000,38030,4,3,-3.769561765897555,"(2.9415359008413002,8.652666868797402)",ITERATION_LIMIT,Rosenbrock,100
e177d4a9be1e075e7e93,31,140,4,2,-0.0000711653319105252,"(0.9918959964715297,0.9840919850951906)",FIND_OPTIMUM,Rosenbrock,100
e177d4a9be1e075e7e93,10000,38579,4,0,-1.0845327086615404,"(2.0413886965204573,4.167918128826231)",ITERATION_LIMIT,Rosenbrock,100
e177d4a9be1e075e7e93,10000,38573,4,1,-62.89846329917987,"(-6.930788606129045,48.03907937038057)",ITERATION_LIMIT,Rosenbrock,100
e177d4a9be1e075e7e93,10000,38540,4,3,-1.2818446466711249,"(2.1321193939768626,4.547159178900298)",ITERATION_LIMIT,Rosenbrock,100
597be4cb86b85aff0630,23,122,4,3,-0.000005321700823967959,"(1.002033973966928,1.003963243322545)",FIND_OPTIMUM,Rosenbrock,100
